"Месяц","ID клиента","Возраст","Пол","Тарифный план","Количество звонков","Минуты разговоров","Количество SMS","Интернет-трафик (ГБ)","Город"
"Январь","7001","25","Мужской","Безлимитный","50","300","20","15","Москва"
"Январь","7002","32","Женский","Эконом","100","200","50","5","Санкт-Петербург"
"Январь","7003","45","Мужской","Стандарт","80","400","30","10","Екатеринбург"
"Февраль","7004","28","Женский","Безлимитный","60","350","25","20","Новосибирск"
"Февраль","7005","35","Мужской","Эконом","120","250","60","7","Казань"
"Февраль","7006","50","Женский","Стандарт","70","300","40","12","Нижний Новгород"
"Март","7007","22","Мужской","Безлимитный","40","250","15","25","Челябинск"
"Март","7008","40","Женский","Эконом","110","220","55","6","Уфа"
"Март","7009","38","Мужской","Стандарт","90","380","35","11","Самара"
"Апрель","7010","29","Женский","Безлимитный","55","320","22","18","Ростов-на-Дону"
"Апрель","7011","42","Мужской","Эконом","130","260","70","8","Москва"
"Апрель","7012","47","Женский","Стандарт","85","360","45","14","Санкт-Петербург"
