Дата,Текст отзыва,Продукт
2024-01-10,"Иногда даёт неточные ответы, но в целом хороший продукт.",GigaChat
2024-01-30,"GigaChat Pro – это мощный инструмент, который помогает в работе.",GigaChat
2024-01-02,Отличный помощник в написании кода!,GigaChat
2024-01-14,"Очень удобный интерфейс, но хотелось бы больше возможностей для настройки.",GigaChat
2024-01-08,Поддержка русского языка на высоком уровне!,GigaChat
2024-01-30,"Помог написать эссе, но местами были фактические ошибки.",GigaChat
2024-01-26,"Хорош для генерации идей, но требует доработки в части логики.",GigaChat
2024-01-23,"Очень удобный интерфейс, но хотелось бы больше возможностей для настройки.",GigaChat
2024-01-02,"Хорош для генерации идей, но требует доработки в части логики.",GigaChat
2024-01-15,Отличный помощник в написании кода!,GigaChat
2024-01-10,Поддержка русского языка на высоком уровне!,GigaChat
2024-01-29,"Помог написать эссе, но местами были фактические ошибки.",GigaChat
2024-01-14,"Иногда даёт неточные ответы, но в целом хороший продукт.",GigaChat
2024-01-04,"Ожидал лучшего качества генерации текстов, но результат слабый.",GigaChat
2024-01-19,Постоянно выдает неактуальную информацию.,GigaChat
2024-01-26,"Ожидал лучшего качества генерации текстов, но результат слабый.",GigaChat
2024-01-05,"Часто допускает ошибки в коде, приходится перепроверять.",GigaChat
2024-01-16,"Отвечает медленно, ожидал лучшей производительности.",GigaChat
2024-01-01,Интерфейс перегружен ненужными функциями.,GigaChat
2024-01-12,Постоянно выдает неактуальную информацию.,GigaChat
2024-01-04,"Ожидал лучшего качества генерации текстов, но результат слабый.",GigaChat
2024-01-02,"API нестабильно, иногда отваливается без видимых причин.",GigaChat
