"Дата бронирования","Номер заказа","Маршрут","Класс обслуживания","Цена билета (руб)","Количество пассажиров","Способ оплаты","Город бронирования"
"2023-01-08","10001","Москва — Санкт-Петербург","Эконом","5000","3","Карта","Москва"
"2023-01-15","10002","Москва — Сочи","Бизнес","15000","2","Онлайн","Санкт-Петербург"
"2023-01-22","10003","Екатеринбург — Казань","Эконом","7000","1","Наличные","Екатеринбург"
"2023-02-05","10004","Новосибирск — Москва","Эконом","10000","4","Карта","Новосибирск"
"2023-02-18","10005","Казань — Сочи","Бизнес","17000","2","Карта","Казань"
"2023-02-25","10006","Москва — Владивосток","Эконом","20000","1","Онлайн","Нижний Новгород"
"2023-03-10","10007","Челябинск — Уфа","Эконом","6000","3","Наличные","Челябинск"
"2023-03-18","10008","Уфа — Санкт-Петербург","Бизнес","16000","2","Карта","Уфа"
"2023-03-27","10009","Самара — Екатеринбург","Эконом","8000","2","Онлайн","Самара"
"2023-04-05","10010","Ростов-на-Дону — Москва","Эконом","9000","5","Карта","Ростов-на-Дону"
"2023-04-12","10011","Москва — Калининград","Бизнес","18000","1","Наличные","Москва"
"2023-04-20","10012","Санкт-Петербург — Сочи","Эконом","11000","2","Онлайн","Санкт-Петербург"
"2023-05-05","10013","Казань — Новосибирск","Эконом","15000","3","Карта","Казань"
"2023-05-15","10014","Москва — Екатеринбург","Бизнес","14000","2","Онлайн","Москва"
"2023-06-10","10015","Новосибирск — Сочи","Эконом","18000","1","Наличные","Новосибирск"
"2023-06-22","10016","Санкт-Петербург — Москва","Эконом","5000","4","Карта","Санкт-Петербург"
