"Дата доставки","ID доставки","Город отправления","Город получения","Расстояние (км)","Время в пути (часов)","Стоимость доставки (руб)","Вес груза (кг)"
"2023-01-05","6001","Москва","Санкт-Петербург","700","9","5000","150"
"2023-01-12","6002","Екатеринбург","Новосибирск","1500","18","8000","300"
"2023-01-20","6003","Казань","Уфа","530","7","4000","120"
"2023-02-03","6004","Ростов-на-Дону","Волгоград","470","6","3500","100"
"2023-02-15","6005","Самара","Нижний Новгород","870","11","6000","200"
"2023-03-08","6006","Москва","Казань","820","10","5500","180"
"2023-03-22","6007","Новосибирск","Омск","640","8","4500","130"
"2023-04-10","6008","Уфа","Екатеринбург","420","5","3000","90"
"2023-04-25","6009","Санкт-Петербург","Псков","290","4","2500","80"
"2023-05-12","6010","Волгоград","Краснодар","900","12","6500","210"
"2023-05-27","6011","Нижний Новгород","Владимир","240","3","2000","70"
"2023-06-05","6012","Казань","Самара","360","5","3000","100"
"2023-06-18","6013","Екатеринбург","Челябинск","210","3","2000","60"
